bitmask,channel_names_active,ownership_pct,mean_alpha,solve_time
747,SS+Bequests+Pessimism+State utility+Loads+Inflation+Source-dependent utility (SDU),53.7948,0.310615,61.7
748,Medical+R-S+Pessimism+State utility+Loads+Inflation+Source-dependent utility (SDU),22.8742,0.199687,125.3
749,SS+Medical+R-S+Pessimism+State utility+Loads+Inflation+Source-dependent utility (SDU),41.4968,0.283760,492.4
750,Bequests+Medical+R-S+Pessimism+State utility+Loads+Inflation+Source-dependent utility (SDU),22.2417,0.169491,118.9
751,SS+Bequests+Medical+R-S+Pessimism+State utility+Loads+Inflation+Source-dependent utility (SDU),35.7344,0.165921,457.7
752,Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),39.1427,0.383415,15.3
753,SS+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),64.7927,0.585991,65.4
754,Bequests+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),39.1427,0.370253,15.9
755,SS+Bequests+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),63.7737,0.525053,64.4
756,Medical+R-S+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),24.3148,0.217734,116.5
757,SS+Medical+R-S+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),48.7351,0.351377,500.9
758,Bequests+Medical+R-S+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),24.0337,0.200594,115.7
759,SS+Bequests+Medical+R-S+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),46.3809,0.288981,464.0
760,Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),36.4371,0.340924,16.8
761,SS+Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),51.8623,0.399666,64.8
762,Bequests+Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),36.1209,0.297783,15.8
763,SS+Bequests+Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),44.3781,0.182505,63.3
764,Medical+R-S+Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),21.6796,0.183366,125.2
765,SS+Medical+R-S+Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),35.4884,0.225081,516.6
766,Bequests+Medical+R-S+Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),20.5903,0.143714,114.5
767,SS+Bequests+Medical+R-S+Pessimism+Age needs+State utility+Loads+Inflation+Source-dependent utility (SDU),26.0014,0.088946,464.6
768,Public-care aversion (LTC)+Source-dependent utility (SDU),80.8855,0.598848,16.4
769,SS+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.999666,66.2
770,Bequests+Public-care aversion (LTC)+Source-dependent utility (SDU),80.8503,0.590576,16.7
771,SS+Bequests+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.981462,65.0
772,Medical+R-S+Public-care aversion (LTC)+Source-dependent utility (SDU),42.8672,0.409659,126.4
773,SS+Medical+R-S+Public-care aversion (LTC)+Source-dependent utility (SDU),99.1216,0.796075,492.5
774,Bequests+Medical+R-S+Public-care aversion (LTC)+Source-dependent utility (SDU),42.8320,0.397765,113.9
775,SS+Bequests+Medical+R-S+Public-care aversion (LTC)+Source-dependent utility (SDU),99.1216,0.765278,471.7
776,Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),64.0900,0.502386,16.2
777,SS+Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.818222,68.0
778,Bequests+Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),63.7737,0.474529,15.8
779,SS+Bequests+Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.730970,57.8
780,Medical+R-S+Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),40.0211,0.367365,126.3
781,SS+Medical+R-S+Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),89.6346,0.579136,501.4
782,Bequests+Medical+R-S+Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),39.7400,0.341198,120.9
783,SS+Bequests+Medical+R-S+Pessimism+Public-care aversion (LTC)+Source-dependent utility (SDU),89.7048,0.508795,464.0
784,Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),71.0119,0.543289,16.4
785,SS+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.959828,66.9
786,Bequests+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),70.7309,0.532077,15.4
787,SS+Bequests+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.933890,61.0
788,Medical+R-S+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),41.6022,0.390446,122.6
789,SS+Medical+R-S+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),97.8566,0.706363,507.2
790,Bequests+Medical+R-S+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),41.4266,0.374968,122.6
791,SS+Bequests+Medical+R-S+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),97.5755,0.666680,495.4
792,Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),59.5573,0.465921,16.2
793,SS+Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),90.5130,0.655039,65.6
794,Bequests+Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),59.3465,0.432723,15.3
795,SS+Bequests+Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),89.9508,0.543254,61.7
796,Medical+R-S+Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),38.5453,0.344782,127.6
797,SS+Medical+R-S+Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),79.2691,0.474726,528.3
798,Bequests+Medical+R-S+Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),38.1237,0.314441,117.2
