label,phi_good,phi_fair,phi_poor,ownership_pct,mean_alpha,solve_time
FLN,1.00,0.90,0.75,1.4758,0.001469,261.0
ReichlingSmetters,1.00,0.95,0.85,1.9677,0.002052,266.1
