hazard_poor,inflation,mwr,implied_gamma,converged,n_iter
3.0625,0.0289,0.8795,2.3853,true,11
2.7618,0.0199,0.7821,2.5767,true,11
3.1144,0.0159,0.8642,2.3647,true,11
2.8191,0.0222,0.8819,2.3237,true,11
3.0362,0.0224,0.8265,2.4946,true,11
2.4168,0.0163,0.8319,2.3647,true,11
2.2203,0.0102,0.8602,2.2485,true,11
3.4359,0.0204,0.8065,2.5835,true,11
2.8248,0.0247,0.8150,2.5220,true,11
2.9959,0.0295,0.8577,2.4468,true,11
3.0288,0.0254,0.8629,2.4126,true,11
3.3166,0.0188,0.8186,2.5220,true,11
3.4529,0.0117,0.8488,2.4126,true,11
3.4722,0.0101,0.8231,2.4673,true,11
2.8115,0.0163,0.8686,2.3306,true,11
2.4515,0.0205,0.7559,2.6382,true,11
2.9530,0.0117,0.7736,2.5562,true,11
2.8299,0.0226,0.8883,2.3169,true,11
2.6546,0.0149,0.8399,2.3716,true,11
2.1179,0.0204,0.7642,2.5493,true,11
3.4198,0.0184,0.7875,2.6245,true,11
2.0962,0.0278,0.8760,2.2827,true,11
2.3095,0.0269,0.8734,2.3101,true,11
2.6537,0.0223,0.8737,2.3306,true,11
3.4448,0.0148,0.7916,2.5835,true,11
2.7655,0.0243,0.8341,2.4536,true,11
2.5963,0.0267,0.7514,2.7681,true,11
2.9314,0.0241,0.7683,2.7065,true,11
2.3623,0.0189,0.7830,2.5151,true,11
2.8452,0.0115,0.7594,2.5767,true,11
3.3797,0.0160,0.7850,2.6040,true,11
2.6335,0.0219,0.7896,2.5562,true,11
3.2679,0.0236,0.7811,2.6929,true,11
2.7511,0.0227,0.7920,2.5767,true,11
3.4823,0.0298,0.8497,2.5220,true,11
2.5985,0.0188,0.7685,2.5972,true,11
2.1548,0.0264,0.7725,2.5835,true,11
3.1377,0.0267,0.8175,2.5698,true,11
2.1391,0.0116,0.8007,2.3784,true,11
3.1704,0.0193,0.7616,2.7134,true,11
3.4797,0.0172,0.8656,2.4058,true,11
3.4070,0.0201,0.8077,2.5767,true,11
2.3718,0.0255,0.7892,2.5493,true,11
3.4739,0.0223,0.8382,2.5083,true,11
2.7448,0.0284,0.8890,2.3237,true,11
2.9193,0.0242,0.8439,2.4468,true,11
3.0223,0.0220,0.8458,2.4399,true,11
3.1050,0.0152,0.8076,2.5083,true,11
2.6546,0.0107,0.7641,2.5356,true,11
2.2114,0.0248,0.8648,2.3101,true,11
2.4662,0.0191,0.7672,2.5835,true,11
2.7884,0.0226,0.8445,2.4194,true,11
2.4831,0.0230,0.7693,2.6177,true,11
3.0220,0.0157,0.8602,2.3647,true,11
2.8847,0.0126,0.8300,2.4058,true,11
2.7765,0.0130,0.7808,2.5220,true,11
2.4380,0.0199,0.8173,2.4331,true,11
2.0907,0.0186,0.8806,2.2280,true,11
2.0896,0.0274,0.8303,2.3989,true,11
2.3377,0.0124,0.8774,2.2417,true,11
2.9457,0.0289,0.8056,2.6040,true,11
2.4240,0.0269,0.7500,2.7476,true,11
2.5077,0.0118,0.7704,2.5083,true,11
3.1302,0.0196,0.8466,2.4331,true,11
2.2369,0.0235,0.8513,2.3442,true,11
2.5581,0.0180,0.8162,2.4399,true,11
2.7650,0.0111,0.7507,2.5972,true,11
2.0849,0.0219,0.8030,2.4331,true,11
3.0909,0.0211,0.8672,2.3853,true,11
2.5108,0.0201,0.7975,2.5015,true,11
3.0306,0.0184,0.7550,2.7134,true,11
2.4548,0.0237,0.8260,2.4331,true,11
2.0585,0.0230,0.7619,2.5767,true,11
2.5019,0.0283,0.8839,2.3101,true,11
3.4522,0.0295,0.8898,2.3989,true,11
2.5745,0.0276,0.8168,2.5083,true,11
2.5683,0.0156,0.8534,2.3306,true,11
2.0066,0.0109,0.7639,2.4468,true,11
2.5469,0.0271,0.8535,2.3921,true,11
2.6287,0.0111,0.8277,2.3784,true,11
2.8319,0.0263,0.7992,2.5903,true,11
2.5664,0.0108,0.7801,2.4810,true,11
3.0335,0.0219,0.7841,2.6313,true,11
3.0022,0.0214,0.8748,2.3579,true,11
2.4068,0.0216,0.8256,2.4194,true,11
2.6539,0.0242,0.8400,2.4263,true,11
2.2171,0.0187,0.7515,2.5972,true,11
3.3169,0.0220,0.7661,2.7407,true,11
2.9935,0.0160,0.7737,2.6040,true,11
2.1204,0.0254,0.8285,2.3921,true,11
2.6991,0.0249,0.8551,2.3921,true,11
3.4031,0.0113,0.8015,2.5220,true,11
2.2419,0.0249,0.8196,2.4331,true,11
2.1446,0.0188,0.8899,2.2144,true,11
3.1724,0.0290,0.7736,2.7817,true,11
2.0185,0.0157,0.7991,2.3921,true,11
2.7662,0.0120,0.7520,2.5972,true,11
2.5495,0.0184,0.8538,2.3442,true,11
3.2507,0.0100,0.8373,2.4126,true,11
2.7044,0.0298,0.8221,2.5220,true,11
2.1566,0.0263,0.7953,2.5015,true,11
2.4341,0.0277,0.8413,2.4194,true,11
2.3860,0.0234,0.8833,2.2827,true,11
2.8033,0.0172,0.8079,2.4878,true,11
2.6308,0.0210,0.8466,2.3853,true,11
2.8696,0.0117,0.8556,2.3442,true,11
2.4302,0.0164,0.7748,2.5288,true,11
3.2111,0.0120,0.8625,2.3647,true,11
2.8329,0.0275,0.8102,2.5630,true,11
2.2156,0.0116,0.8241,2.3374,true,11
2.9071,0.0130,0.8617,2.3374,true,11
2.8920,0.0154,0.7632,2.6177,true,11
2.2021,0.0209,0.8024,2.4468,true,11
2.1694,0.0294,0.8588,2.3442,true,11
2.6327,0.0111,0.7650,2.5356,true,11
2.4877,0.0101,0.8292,2.3511,true,11
2.9843,0.0109,0.7548,2.6108,true,11
2.0569,0.0196,0.8362,2.3306,true,11
3.1278,0.0245,0.7866,2.6655,true,11
2.4696,0.0182,0.7898,2.5015,true,11
3.2046,0.0163,0.8302,2.4604,true,11
2.6952,0.0202,0.8106,2.4878,true,11
2.8569,0.0283,0.8036,2.5972,true,11
3.1230,0.0204,0.7637,2.7065,true,11
2.4974,0.0227,0.8650,2.3374,true,11
2.0905,0.0264,0.8573,2.3169,true,11
3.4249,0.0283,0.8835,2.4058,true,11
3.1201,0.0295,0.8534,2.4741,true,11
2.2752,0.0135,0.8517,2.2896,true,11
3.4614,0.0281,0.7767,2.7954,true,11
2.3348,0.0133,0.8557,2.2896,true,11
2.4617,0.0103,0.7642,2.5083,true,11
2.0957,0.0241,0.8106,2.4331,true,11
2.1609,0.0106,0.7702,2.4468,true,11
3.0067,0.0289,0.8015,2.6313,true,11
2.3521,0.0198,0.8672,2.2964,true,11
2.2207,0.0267,0.8366,2.3921,true,11
2.0026,0.0132,0.8449,2.2690,true,11
2.0653,0.0233,0.8758,2.2554,true,11
2.9202,0.0284,0.8151,2.5630,true,11
3.3319,0.0244,0.8431,2.4946,true,11
2.0487,0.0170,0.7925,2.4194,true,11
2.9228,0.0141,0.8559,2.3579,true,11
2.1934,0.0256,0.8592,2.3237,true,11
2.2239,0.0197,0.8863,2.2417,true,11
2.6728,0.0120,0.8292,2.3784,true,11
3.0798,0.0231,0.7546,2.7886,true,11
2.6235,0.0269,0.8432,2.4331,true,11
2.6001,0.0173,0.8072,2.4604,true,11
2.3571,0.0287,0.7959,2.5562,true,11
2.2174,0.0112,0.7657,2.4741,true,11
2.4178,0.0242,0.7539,2.6860,true,11
2.9090,0.0129,0.8024,2.4810,true,11
2.7121,0.0225,0.7529,2.7271,true,11
2.5801,0.0148,0.7974,2.4673,true,11
2.2022,0.0201,0.7867,2.4878,true,11
2.7042,0.0156,0.7715,2.5698,true,11
2.4332,0.0113,0.7835,2.4604,true,11
2.0080,0.0225,0.7791,2.5015,true,11
2.1974,0.0270,0.8685,2.3101,true,11
3.4953,0.0128,0.8537,2.4126,true,11
2.3428,0.0174,0.8809,2.2554,true,11
3.3523,0.0297,0.7643,2.8774,true,11
2.5095,0.0241,0.8540,2.3716,true,11
2.3858,0.0160,0.8673,2.2827,true,11
2.0365,0.0164,0.8502,2.2759,true,11
2.0482,0.0180,0.8002,2.4058,true,11
2.9210,0.0166,0.8582,2.3647,true,11
